linha,cnae_raw,cnae,descricao,anexo,fator_r,aliquota,atende,categoria_slug,flags,url
"1","3250706","3250706","Serviços de prótese dentária","V","Sim","15.5","Atende","fabricacao-de-produtos-diversos","par_fator_r","/consulta-cnae/fabricacao-de-produtos-diversos/3250706-servicos-de-protese-dentaria/"
"2","3250706","3250706","Serviços de prótese dentária","III","Sim","6","Atende","fabricacao-de-produtos-diversos","par_fator_r","/consulta-cnae/fabricacao-de-produtos-diversos/3250706-servicos-de-protese-dentaria/"
"3","3250709","3250709","Serviço de laboratório óptico","V","Sim","15.5","Atende","fabricacao-de-produtos-diversos","par_fator_r","/consulta-cnae/fabricacao-de-produtos-diversos/3250709-servico-de-laboratorio-optico/"
"4","3250709","3250709","Serviço de laboratório óptico","III","Sim","6","Atende","fabricacao-de-produtos-diversos","par_fator_r","/consulta-cnae/fabricacao-de-produtos-diversos/3250709-servico-de-laboratorio-optico/"
"5","4399101","4399101","Administração de obras","III","Não","6","Atende","servicos-especializados-para-construcao","","/consulta-cnae/servicos-especializados-para-construcao/4399101-administracao-de-obras/"
"6","4512901","4512901","Representantes comerciais e agentes do comércio de veículos automotores","V","Sim","15.5","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","fator_r_sim_sem_par","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4512901-representantes-comerciais-e-agentes-do-comercio-de-veiculos-automotores/"
"7","4530702","4530702","Comércio por atacado de pneumáticos e câmaras-de-ar","I","Não","4","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4530702-comercio-por-atacado-de-pneumaticos-e-camaras-de-ar/"
"8","4530703","4530703","Comércio a varejo de peças e acessórios novos para veículos automotores","I","Não","4","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4530703-comercio-a-varejo-de-pecas-e-acessorios-novos-para-veiculos-automotores/"
"9","4530704","4530704","Comércio a varejo de peças e acessórios usados para veículos automotores","I","Não","4","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4530704-comercio-a-varejo-de-pecas-e-acessorios-usados-para-veiculos-automotores/"
"10","4530705","4530705","Comércio a varejo de pneumáticos e câmaras-de-ar","I","Não","4","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4530705-comercio-a-varejo-de-pneumaticos-e-camaras-de-ar/"
"11","4530706","4530706","Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores","V","Sim","15.5","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","fator_r_sim_sem_par","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4530706-representantes-comerciais-e-agentes-do-comercio-de-pecas-e-acessorios-novos-e-usados-para-veiculos-automotores/"
"12","4541202","4541202","Comércio por atacado de peças e acessórios para motocicletas e motonetas","I","Não","4","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4541202-comercio-por-atacado-de-pecas-e-acessorios-para-motocicletas-e-motonetas/"
"13","4541206","4541206","Comércio a varejo de peças e acessórios novos para motocicletas e motonetas","I","Não","4","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4541206-comercio-a-varejo-de-pecas-e-acessorios-novos-para-motocicletas-e-motonetas/"
"14","4541207","4541207","Comércio a varejo de peças e acessórios usados para motocicletas e motonetas","I","Não","4","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4541207-comercio-a-varejo-de-pecas-e-acessorios-usados-para-motocicletas-e-motonetas/"
"15","4542101","4542101","Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios","V","Sim","15.5","Atende","comercio-e-reparacao-de-veiculos-automotores-e-motocicletas","fator_r_sim_sem_par","/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4542101-representantes-comerciais-e-agentes-do-comercio-de-motocicletas-e-motonetas-pecas-e-acessorios/"
"16","4611700","4611700","Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos","V","Sim","15.5","Atende","comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas","fator_r_sim_sem_par","/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4611700-representantes-comerciais-e-agentes-do-comercio-de-materias-primas-agricolas-e-animais-vivos/"
"17","4612500","4612500","Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos","V","Sim","15.5","Atende","comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas","fator_r_sim_sem_par","/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4612500-representantes-comerciais-e-agentes-do-comercio-de-combustiveis-minerais-produtos-siderurgicos-e-quimicos/"
"18","4613300","4613300","Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens","V","Sim","15.5","Atende","comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas","fator_r_sim_sem_par","/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4613300-representantes-comerciais-e-agentes-do-comercio-de-madeira-material-de-construcao-e-ferragens/"
"19","4614100","4614100","Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves","V","Sim","15.5","Atende","comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas","fator_r_sim_sem_par","/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4614100-representantes-comerciais-e-agentes-do-comercio-de-maquinas-equipamentos-embarcacoes-e-aeronaves/"
"20","4615000","4615000","Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico","V","Sim","15.5","Atende","comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas","fator_r_sim_sem_par","/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4615000-representantes-comerciais-e-agentes-do-comercio-de-eletrodomesticos-moveis-e-artigos-de-uso-domestico/"
"21","4616800","4616800","Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem","V","Sim","15.5","Atende","comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas","fator_r_sim_sem_par","/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4616800-representantes-comerciais-e-agentes-do-comercio-de-texteis-vestuario-calcados-e-artigos-de-viagem/"
"22","4617600","4617600","Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo","V","Sim","15.5","Atende","comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas","fator_r_sim_sem_par","/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4617600-representantes-comerciais-e-agentes-do-comercio-de-produtos-alimenticios-bebidas-e-fumo/"
"23","4618401","4618401","Representantes comerciais e agentes do comércio de medicamentos, cosméticos e produtos de perfumaria","V","Sim","15.5","Atende","comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas","fator_r_sim_sem_par","/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4618401-representantes-comerciais-e-agentes-do-comercio-de-medicamentos-cosmeticos-e-produtos-de-perfumaria/"
"24","4618402","4618402","Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares","V","Sim","15.5","Atende","comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas","fator_r_sim_sem_par","/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4618402-representantes-comerciais-e-agentes-do-comercio-de-instrumentos-e-materiais-odonto-medico-hospitalares/"
"25","4618403","4618403","Representantes comerciais e agentes do comércio de jornais, revistas e outras publicações","V","Sim","15.5","Atende","comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas","fator_r_sim_sem_par","/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4618403-representantes-comerciais-e-agentes-do-comercio-de-jornais-revistas-e-outras-publicacoes/"
"26","4618499","4618499","Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente","V","Sim","15.5","Atende","comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas","fator_r_sim_sem_par","/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4618499-outros-representantes-comerciais-e-agentes-do-comercio-especializado-em-produtos-nao-especificados-anteriormente/"
"27","4619200","4619200","Representantes comerciais e agentes do comércio de mercadorias em geral não especializado","V","Sim","15.5","Atende","comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas","fator_r_sim_sem_par","/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4619200-representantes-comerciais-e-agentes-do-comercio-de-mercadorias-em-geral-nao-especializado/"
"28","4711301","4711301","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios – hipermercados","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4711301-comercio-varejista-de-mercadorias-em-geral-com-predominancia-de-produtos-alimenticios-hipermercados/"
"29","4711302","4711302","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios – supermercados","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4711302-comercio-varejista-de-mercadorias-em-geral-com-predominancia-de-produtos-alimenticios-supermercados/"
"30","4712100","4712100","Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios – minimercados, mercearias e armazéns","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4712100-comercio-varejista-de-mercadorias-em-geral-com-predominancia-de-produtos-alimenticios-minimercados-mercearias-e-armazens/"
"31","4713002","4713002","Lojas de variedades, exceto lojas de departamentos ou magazines","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4713002-lojas-de-variedades-exceto-lojas-de-departamentos-ou-magazines/"
"32","4713004","4713004","Lojas de departamentos ou magazines, exceto lojas francas (duty free)","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4713004-lojas-de-departamentos-ou-magazines-exceto-lojas-francas-duty-free/"
"33","4721102","4721102","Padaria e confeitaria com predominância de revenda","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4721102-padaria-e-confeitaria-com-predominancia-de-revenda/"
"34","4721103","4721103","Comércio varejista de laticínios e frios","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4721103-comercio-varejista-de-laticinios-e-frios/"
"35","4721104","4721104","Comércio varejista de doces, balas, bombons e semelhantes","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4721104-comercio-varejista-de-doces-balas-bombons-e-semelhantes/"
"36","4723700","4723700","Comércio varejista de bebidas","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4723700-comercio-varejista-de-bebidas/"
"37","4724500","4724500","Comércio varejista de hortifrutigranjeiros","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4724500-comercio-varejista-de-hortifrutigranjeiros/"
"38","4729601","4729601","Tabacaria","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4729601-tabacaria/"
"39","4729699","4729699","Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4729699-comercio-varejista-de-produtos-alimenticios-em-geral-ou-especializado-em-produtos-alimenticios-nao-especificados-anteriormente/"
"40","4743100","4743100","Comércio varejista de vidros","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4743100-comercio-varejista-de-vidros/"
"41","4744002","4744002","Comércio varejista de madeira e artefatos","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4744002-comercio-varejista-de-madeira-e-artefatos/"
"42","4751201","4751201","Comércio varejista especializado de equipamentos e suprimentos de informática","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4751201-comercio-varejista-especializado-de-equipamentos-e-suprimentos-de-informatica/"
"43","4751202","4751202","Recarga de cartuchos para equipamentos de informática","III","Não","6","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4751202-recarga-de-cartuchos-para-equipamentos-de-informatica/"
"44","4752100","4752100","Comércio varejista especializado de equipamentos de telefonia e comunicação","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4752100-comercio-varejista-especializado-de-equipamentos-de-telefonia-e-comunicacao/"
"45","4753900","4753900","Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4753900-comercio-varejista-especializado-de-eletrodomesticos-e-equipamentos-de-audio-e-video/"
"46","4754701","4754701","Comércio varejista de móveis","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4754701-comercio-varejista-de-moveis/"
"47","4754702","4754702","Comércio varejista de artigos de colchoaria","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4754702-comercio-varejista-de-artigos-de-colchoaria/"
"48","4754703","4754703","Comércio varejista de artigos de iluminação","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4754703-comercio-varejista-de-artigos-de-iluminacao/"
"49","4755501","4755501","Comércio varejista de tecidos","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4755501-comercio-varejista-de-tecidos/"
"50","4755502","4755502","Comércio varejista de artigos de armarinho","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4755502-comercio-varejista-de-artigos-de-armarinho/"
"51","4755503","4755503","Comércio varejista de artigos de cama, mesa e banho","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4755503-comercio-varejista-de-artigos-de-cama-mesa-e-banho/"
"52","4756300","4756300","Comércio varejista especializado de instrumentos musicais e acessórios","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4756300-comercio-varejista-especializado-de-instrumentos-musicais-e-acessorios/"
"53","4757100","4757100","Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4757100-comercio-varejista-especializado-de-pecas-e-acessorios-para-aparelhos-eletroeletronicos-para-uso-domestico-exceto-informatica-e-comunicacao/"
"54","4759801","4759801","Comércio varejista de artigos de tapeçaria, cortinas e persianas","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4759801-comercio-varejista-de-artigos-de-tapecaria-cortinas-e-persianas/"
"55","4759899","4759899","Comércio varejista de outros artigos de uso doméstico não especificados anteriormente","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4759899-comercio-varejista-de-outros-artigos-de-uso-domestico-nao-especificados-anteriormente/"
"56","4761001","4761001","Comércio varejista de livros","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4761001-comercio-varejista-de-livros/"
"57","4761002","4761002","Comércio varejista de jornais e revistas","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4761002-comercio-varejista-de-jornais-e-revistas/"
"58","4761003","4761003","Comércio varejista de artigos de papelaria","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4761003-comercio-varejista-de-artigos-de-papelaria/"
"59","4762800","4762800","Comércio varejista de discos, cds, dvds e fitas","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4762800-comercio-varejista-de-discos-cds-dvds-e-fitas/"
"60","4763601","4763601","Comércio varejista de brinquedos e artigos recreativos","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4763601-comercio-varejista-de-brinquedos-e-artigos-recreativos/"
"61","4763602","4763602","Comércio varejista de artigos esportivos","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4763602-comercio-varejista-de-artigos-esportivos/"
"62","4763603","4763603","Comércio varejista de bicicletas e triciclos peças e acessórios","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4763603-comercio-varejista-de-bicicletas-e-triciclos-pecas-e-acessorios/"
"63","4763604","4763604","Comércio varejista de artigos de caça, pesca e camping","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4763604-comercio-varejista-de-artigos-de-caca-pesca-e-camping/"
"64","4772500","4772500","Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4772500-comercio-varejista-de-cosmeticos-produtos-de-perfumaria-e-de-higiene-pessoal/"
"65","4774100","4774100","Comércio varejista de artigos de óptica","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4774100-comercio-varejista-de-artigos-de-optica/"
"66","4781400","4781400","Comércio varejista de artigos do vestuário e acessórios","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4781400-comercio-varejista-de-artigos-do-vestuario-e-acessorios/"
"67","4782201","4782201","Comércio varejista de calçados","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4782201-comercio-varejista-de-calcados/"
"68","4782202","4782202","Comércio varejista de artigos de viagem","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4782202-comercio-varejista-de-artigos-de-viagem/"
"69","4783102","4783102","Comércio varejista de artigos de relojoaria","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4783102-comercio-varejista-de-artigos-de-relojoaria/"
"70","4785701","4785701","Comércio varejista de antigüidades","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4785701-comercio-varejista-de-antiguidades/"
"71","4785799","4785799","Comércio varejista de outros artigos usados","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4785799-comercio-varejista-de-outros-artigos-usados/"
"72","4789001","4789001","Comércio varejista de suvenires, bijuterias e artesanatos","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4789001-comercio-varejista-de-suvenires-bijuterias-e-artesanatos/"
"73","4789002","4789002","Comércio varejista de plantas e flores naturais","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4789002-comercio-varejista-de-plantas-e-flores-naturais/"
"74","4789003","4789003","Comércio varejista de objetos de arte","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4789003-comercio-varejista-de-objetos-de-arte/"
"75","4789007","4789007","Comércio varejista de equipamentos para escritório","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4789007-comercio-varejista-de-equipamentos-para-escritorio/"
"76","4789008","4789008","Comércio varejista de artigos fotográficos e para filmagem","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4789008-comercio-varejista-de-artigos-fotograficos-e-para-filmagem/"
"77","4789099","4789099","Comércio varejista de outros produtos não especificados anteriormente","I","Não","4","Atende","comercio-varejista","","/consulta-cnae/comercio-varejista/4789099-comercio-varejista-de-outros-produtos-nao-especificados-anteriormente/"
"78","5611201","5611201","Restaurantes e similares","I","Não","4","Atende","alimentacao","","/consulta-cnae/alimentacao/5611201-restaurantes-e-similares/"
"79","5611203","5611203","Lanchonetes, casas de chá, de sucos e similares","I","Não","4","Atende","alimentacao","","/consulta-cnae/alimentacao/5611203-lanchonetes-casas-de-cha-de-sucos-e-similares/"
"80","5611204","5611204","Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento","I","Não","4","Atende","alimentacao","","/consulta-cnae/alimentacao/5611204-bares-e-outros-estabelecimentos-especializados-em-servir-bebidas-sem-entretenimento/"
"81","5620101","5620101","Fornecimento de alimentos preparados preponderantemente para empresas","I","Não","4","Atende","alimentacao","","/consulta-cnae/alimentacao/5620101-fornecimento-de-alimentos-preparados-preponderantemente-para-empresas/"
"82","5620103","5620103","Cantinas – serviços de alimentação privativos","I","Não","4","Atende","alimentacao","","/consulta-cnae/alimentacao/5620103-cantinas-servicos-de-alimentacao-privativos/"
"83","5620104","5620104","Fornecimento de alimentos preparados preponderantemente para consumo domiciliar","I","Não","4","Atende","alimentacao","","/consulta-cnae/alimentacao/5620104-fornecimento-de-alimentos-preparados-preponderantemente-para-consumo-domiciliar/"
"84","5911101","5911101","Estúdios cinematográficos","III","Não","6","Atende","atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica","","/consulta-cnae/atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica/5911101-estudios-cinematograficos/"
"85","5911102","5911102","Produção de filmes para publicidade","III","Não","6","Atende","atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica","","/consulta-cnae/atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica/5911102-producao-de-filmes-para-publicidade/"
"86","5911199","5911199","Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente","III","Não","6","Atende","atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica","","/consulta-cnae/atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica/5911199-atividades-de-producao-cinematografica-de-videos-e-de-programas-de-televisao-nao-especificadas-anteriormente/"
"87","5912001","5912001","Serviços de dublagem","III","Não","6","Atende","atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica","","/consulta-cnae/atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica/5912001-servicos-de-dublagem/"
"88","5912002","5912002","Serviços de mixagem sonora em produção audiovisual","III","Não","6","Atende","atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica","","/consulta-cnae/atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica/5912002-servicos-de-mixagem-sonora-em-producao-audiovisual/"
"89","5912099","5912099","Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente","III","Não","6","Atende","atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica","","/consulta-cnae/atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica/5912099-atividades-de-pos-producao-cinematografica-de-videos-e-de-programas-de-televisao-nao-especificadas-anteriormente/"
"90","5913800","5913800","Distribuição cinematográfica, de vídeo e de programas de televisão","III","Não","6","Atende","atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica","","/consulta-cnae/atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica/5913800-distribuicao-cinematografica-de-video-e-de-programas-de-televisao/"
"91","5914600","5914600","Atividades de exibição cinematográfica","III","Não","6","Atende","atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica","","/consulta-cnae/atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica/5914600-atividades-de-exibicao-cinematografica/"
"92","5920100","5920100","Atividades de gravação de som e de edição de música","III","Não","6","Atende","atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica","","/consulta-cnae/atividades-cinematograficas-producao-de-videos-e-de-programas-de-televisao-gravacao-de-som-e-edicao-de-musica/5920100-atividades-de-gravacao-de-som-e-de-edicao-de-musica/"
"93","6201501","6201501","Desenvolvimento de programas de computador sob encomenda","V","Sim","15.5","Atende","atividades-dos-servicos-de-tecnologia-da-informacao","par_fator_r","/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6201501-desenvolvimento-de-programas-de-computador-sob-encomenda/"
"94","6201501","6201501","Desenvolvimento de programas de computador sob encomenda","III","Sim","6","Atende","atividades-dos-servicos-de-tecnologia-da-informacao","par_fator_r","/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6201501-desenvolvimento-de-programas-de-computador-sob-encomenda/"
"95","6201502","6201502","Web design","V","Sim","15.5","Atende","atividades-dos-servicos-de-tecnologia-da-informacao","par_fator_r","/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6201502-web-design/"
"96","6201502","6201502","Web design","III","Sim","6","Atende","atividades-dos-servicos-de-tecnologia-da-informacao","par_fator_r","/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6201502-web-design/"
"97","6202300","6202300","Desenvolvimento e licenciamento de programas de computador customizáveis","V","Sim","15.5","Atende","atividades-dos-servicos-de-tecnologia-da-informacao","par_fator_r","/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6202300-desenvolvimento-e-licenciamento-de-programas-de-computador-customizaveis/"
"98","6202300","6202300","Desenvolvimento e licenciamento de programas de computador customizáveis","III","Sim","6","Atende","atividades-dos-servicos-de-tecnologia-da-informacao","par_fator_r","/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6202300-desenvolvimento-e-licenciamento-de-programas-de-computador-customizaveis/"
"99","6203100","6203100","Desenvolvimento e licenciamento de programas de computador não-customizáveis","V","Sim","15.5","Atende","atividades-dos-servicos-de-tecnologia-da-informacao","par_fator_r","/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6203100-desenvolvimento-e-licenciamento-de-programas-de-computador-nao-customizaveis/"
"100","6203100","6203100","Desenvolvimento e licenciamento de programas de computador não-customizáveis","III","Sim","6","Atende","atividades-dos-servicos-de-tecnologia-da-informacao","par_fator_r","/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6203100-desenvolvimento-e-licenciamento-de-programas-de-computador-nao-customizaveis/"
"101","6204000","6204000","Consultoria em tecnologia da informação","V","Sim","15.5","Atende","atividades-dos-servicos-de-tecnologia-da-informacao","fator_r_sim_sem_par","/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6204000-consultoria-em-tecnologia-da-informacao/"
"102","6209100","6209100","Suporte técnico, manutenção e outros serviços em tecnologia da informação","V","Sim","15.5","Atende","atividades-dos-servicos-de-tecnologia-da-informacao","par_fator_r","/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6209100-suporte-tecnico-manutencao-e-outros-servicos-em-tecnologia-da-informacao/"
"103","6209100","6209100","Suporte técnico, manutenção e outros serviços em tecnologia da informação","III","Sim","6","Atende","atividades-dos-servicos-de-tecnologia-da-informacao","par_fator_r","/consulta-cnae/atividades-dos-servicos-de-tecnologia-da-informacao/6209100-suporte-tecnico-manutencao-e-outros-servicos-em-tecnologia-da-informacao/"
"104","6311900","6311900","Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet","V","Sim","15.5","Atende","atividades-de-prestacao-de-servicos-de-informacao","par_fator_r","/consulta-cnae/atividades-de-prestacao-de-servicos-de-informacao/6311900-tratamento-de-dados-provedores-de-servicos-de-aplicacao-e-servicos-de-hospedagem-na-internet/"
